player,season,pos,player_id,g,x3pa_per_game,x2pa_per_game,team,e_fg_percent,fga_per_game,x3p_percent,orb_per_game,x2p_percent,ft_percent,fg_percent,drb_percent,orb_percent,blk_percent,obpm,usg_percent,ast_percent,trb_percent,stl_percent,tov_percent,x3p_ar,ts_percent,f_tr,shooting_foul_committed,points_generated_by_assists,offensive_foul_drawn,and1,shooting_foul_drawn,fga_blocked,bad_pass_turnover,lost_ball_turnover,offensive_foul_committed
Antoine Walker,1997,PF,walkean02,82,1.9,14.6,BOS,0.445,16.5,0.327,3.5,0.438,0.631,0.425,19.0,10.4,1.3,-0.3,25.2,15.3,14.4,1.8,13.2,0.117,0.474,0.27,129,587,,40,158,118,118,27,16
Antonio Davis,1997,PF,davisan01,82,0.2,7.6,IND,0.481,7.8,0.071,2.3,0.49,0.666,0.48,20.5,9.9,2.9,-1.4,18.6,4.8,15.3,1.0,15.0,0.022,0.536,0.565,126,148,,19,138,66,42,26,26
Antonio Harvey,1997,PF,harvean01,6,0.0,1.8,SEA,0.455,1.8,,0.3,0.455,0.833,0.455,37.0,9.3,13.2,-3.0,25.7,6.8,23.2,0.0,6.8,0.0,0.55,0.545,6,2,,0,3,2,0,0,0
Antonio Lang,1997,PF,langan02,64,0.1,2.4,CLE,0.42,2.5,0.0,0.8,0.436,0.729,0.42,11.8,7.9,3.2,-5.0,13.8,6.5,9.8,2.3,21.4,0.037,0.467,0.296,46,75,,4,24,18,9,11,13
Antonio McDyess,1997,PF,mcdyean01,74,0.5,15.2,DEN,0.466,15.6,0.171,2.1,0.472,0.708,0.463,16.8,7.0,3.4,-1.9,26.6,7.8,11.9,1.3,13.0,0.03,0.509,0.334,142,267,,35,172,71,58,52,27
Armen Gilliam,1997,PF,gilliar01,80,0.0,6.5,MIL,0.471,6.5,,1.7,0.471,0.768,0.471,21.5,8.2,1.5,-1.5,16.8,4.1,14.8,1.6,14.2,0.0,0.543,0.496,101,115,,17,107,23,18,25,16
Arvydas Sabonis,1997,C,sabonar01,69,1.9,7.6,POR,0.536,9.5,0.371,1.7,0.53,0.777,0.498,28.3,7.9,3.7,2.6,23.9,14.6,18.4,1.9,16.1,0.201,0.592,0.436,99,334,,26,118,34,82,24,16
Ashraf Amaya,1997,PF,amayaas01,31,0.0,1.3,WSB,0.313,1.3,1.0,0.6,0.282,0.536,0.3,26.4,15.7,1.6,-6.2,19.4,2.9,21.1,2.5,16.0,0.025,0.382,0.7,13,0,,2,11,6,5,2,1
Avery Johnson,1997,PG,johnsav01,76,0.3,8.7,SAS,0.482,9.0,0.231,0.4,0.487,0.69,0.477,5.8,1.5,0.5,0.2,17.3,35.5,3.6,2.1,15.9,0.038,0.517,0.296,53,1135,,17,76,51,86,26,5
B.J. Armstrong,1997,PG,armstbj01,49,1.8,4.8,GSW,0.491,6.7,0.278,0.1,0.519,0.861,0.453,7.8,0.8,0.2,-0.5,18.1,20.3,4.3,1.3,12.8,0.275,0.538,0.242,29,281,,5,24,15,31,8,1
Ben Davis,1997,PF,davisbe01,20,0.0,1.3,PHO,0.385,1.3,,0.6,0.385,0.45,0.385,17.8,14.4,0.8,-4.4,17.4,0.0,16.1,2.1,7.9,0.0,0.417,0.769,6,0,,0,9,6,2,0,0
Ben Wallace,1997,PF,wallabe01,34,0.0,1.4,WSB,0.348,1.4,,0.7,0.348,0.3,0.348,19.3,15.1,4.2,-7.6,16.6,1.4,17.2,2.1,24.7,0.0,0.347,0.435,17,5,,2,7,8,5,3,2
Benoit Benjamin,1997,C,benjabe01,4,0.0,3.0,TOR,0.417,3.0,,0.8,0.417,0.75,0.417,16.5,7.8,0.0,-3.8,16.0,3.7,12.0,1.2,12.7,0.0,0.472,0.333,2,3,,0,2,2,0,0,2
Bill Wennington,1997,C,wennibi01,61,0.0,3.9,CHI,0.498,3.9,0.0,0.8,0.502,0.83,0.498,11.8,6.7,1.1,-3.2,16.6,7.7,9.3,0.7,10.6,0.008,0.538,0.224,76,90,,3,22,9,15,4,7
Billy Owens,1997,SF,owensbi01,66,1.1,8.6,SAC,0.487,9.7,0.347,2.0,0.482,0.697,0.467,15.2,7.8,0.9,-0.3,18.8,15.5,11.5,1.6,15.9,0.113,0.514,0.227,82,404,,15,64,45,57,30,14
Bimbo Coles,1997,PG,colesbi01,51,2.0,4.2,GSW,0.436,6.2,0.294,0.8,0.434,0.755,0.389,7.9,3.9,0.5,-2.0,14.9,19.4,5.9,1.5,15.0,0.325,0.463,0.156,32,330,,5,18,21,29,13,6
Bison Dele,1997,C,delebi01,9,0.0,7.0,CHI,0.413,7.0,,1.6,0.413,0.733,0.413,15.3,11.6,2.7,-3.6,26.1,13.5,13.5,1.2,13.6,0.0,0.453,0.238,13,26,,1,7,6,4,1,2
Blue Edwards,1997,SF,edwarbl01,61,1.5,6.0,VAN,0.425,7.5,0.281,0.8,0.425,0.817,0.397,11.5,3.9,1.1,-3.2,18.9,13.5,7.6,1.4,13.8,0.194,0.472,0.238,68,255,,12,41,28,44,10,5
Bo Outlaw,1997,PF,outlabo01,82,0.1,5.0,LAC,0.609,5.1,0.0,2.1,0.621,0.504,0.609,15.4,8.9,5.1,0.3,12.7,11.3,12.1,2.3,17.1,0.019,0.602,0.556,108,358,,19,89,30,48,28,9
Bob Sura,1997,SG,surabo01,82,2.0,5.2,CLE,0.476,7.2,0.323,0.9,0.473,0.614,0.431,13.5,4.3,1.3,0.1,20.0,30.2,8.8,2.3,19.9,0.279,0.519,0.543,89,872,,20,111,49,97,33,12
